2020/03/17 17:02:24.884492,ETH/BTC,ask,0.02,3.467434
2020/03/17 17:02:24.884492,ETH/BTC,ask,0.022,3.467434
2020/03/17 17:02:24.884492,ETH/BTC,ask,0.0235,3.467434
2020/03/17 17:02:24.884492,ETH/BTC,ask,0.03,3.467434
2020/03/17 17:02:24.884492,ETH/BTC,ask,0.02345,3.467434

2020/03/17 17:06:24.884492,ETH/BTC,ask,0.016,0.21
2020/03/17 17:06:24.884492,BTC/ETH,ask,0.016,0.21

2020/03/17 17:07:24.884492,ETH/BTC,ask,0.02186299,0.1

2020/03/17 17:08:24.884492,ETH/BTC,ask,0.02186251,0.0091

2020/03/17 17:09:24.884492,ETH/BTC,ask,0.02186053,0.58
2020/03/17 17:09:24.884492,BTC/ETH,ask,0.025,0.21

2020/03/17 17:10:24.884492,ETH/BTC,ask,0.03,0.05
2020/03/17 17:10:24.884492,ETH/BTC,ask,0.03,0.05
7
2020/03/17 17:11:24.884492,ETH/BTC,ask,0.02185561,9.14455526

2020/03/17 17:12:24.884492,ETH/BTC,ask,0.02184944,130.

2020/03/17 17:13:24.884492,ETH/BTC,ask,0.02184363,4.52654436

2020/03/17 17:14:24.884492,ETH/BTC,ask,0.03,4.89101735

2020/03/17 17:15:24.884492,ETH/BTC,ask,0.02183264,0.00630238
